"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180"
"fBodyBodyAccJerkMag-entropy()"," 0.478205570"," 0.396208540"," 0.395869075"," 0.268436356"," 0.347275676"," 0.487012964"," 0.476476016"," 0.462153302"," 0.255236834"," 0.516763058"," 0.235229649"," 0.496691986"," 0.385659249"," 0.148117284"," 0.327672622"," 0.261284848"," 0.250375069"," 0.212469490"," 0.559392936"," 0.551091339"," 0.390636272"," 0.548763735"," 0.491569659"," 0.176280575","-0.008216094"," 0.306902529"," 0.348499808"," 0.235741691"," 0.486510085"," 0.251282345"," 0.193028585"," 0.407292974"," 0.194452225"," 0.226018257"," 0.346817142"," 0.421195986"," 0.180399400"," 0.431014098"," 0.217693515"," 0.414788352"," 0.142501374"," 0.269039855"," 0.216857569"," 0.340168281"," 0.339653098"," 0.153670958"," 0.296045537"," 0.045813097"," 0.393314385"," 0.400088575"," 0.253067007"," 0.478551037"," 0.302175642"," 0.186505284","-0.075915576"," 0.332240855"," 0.139558879"," 0.282028739"," 0.360998992"," 0.075022780"," 0.524550812"," 0.627463400"," 0.503190198"," 0.405718888"," 0.522298779"," 0.657892994"," 0.560388654"," 0.683255957"," 0.510854989"," 0.609934577"," 0.477632341"," 0.544307456"," 0.509152546"," 0.600661701"," 0.637026309"," 0.470311500"," 0.423662758"," 0.228573822"," 0.794027766"," 0.529893001"," 0.594626675"," 0.567608891"," 0.703878127"," 0.363424494"," 0.134526390"," 0.399227569"," 0.523666531"," 0.512565151"," 0.509499738"," 0.435916390","-0.959589706","-0.961771542","-0.903068174","-0.872039393","-0.872399110","-0.824657865","-0.894710976","-0.943147149","-0.822990444","-0.965310417","-0.914703744","-0.914407962","-0.984073903","-0.914398918","-0.965582360","-0.961574499","-0.986649467","-0.994740030","-0.967312199","-0.904843138","-0.979658095","-0.885839036","-0.919905341","-0.983764535","-0.979345660","-0.985415573","-0.980810157","-0.911689894","-0.988692777","-0.965812517","-0.996658396","-0.927868140","-0.800084808","-0.841724382","-0.764029505","-0.842830878","-0.895174942","-0.942052534","-0.885511002","-0.833074910","-0.983002187","-0.850640054","-0.946932514","-0.900167886","-0.951490144","-0.972492543","-0.979009688","-0.980993995","-0.946935978","-0.768247042","-0.913475575","-0.871021789","-0.936019144","-0.920459517","-0.959020261","-0.947149698","-0.955181954","-0.828030002","-0.991412154","-0.831489918","-0.827053100","-0.969635774","-0.924892124","-0.879476266","-0.946793487","-0.832553840","-0.907407993","-0.876976468","-0.823168552","-0.901184605","-0.928463384","-0.860952519","-0.949368282","-0.885049724","-0.916482835","-0.977345582","-0.936285796","-0.990882263","-0.957284009","-0.946068069","-0.947171036","-0.883869603","-0.984937231","-0.965158432","-0.871628492","-0.982928855","-0.981895757","-0.913355407","-0.999144420","-0.903583093"
"fBodyBodyAccJerkMag-maxInds","-0.8907268","-0.8843153","-0.9058566","-0.8730159","-0.8871882","-0.8947368","-0.8791423","-0.8657407","-0.8736264","-0.8808026","-0.8988431","-0.8895238","-0.8763576","-0.9042238","-0.8853615","-0.8767507","-0.9047619","-0.8781179","-0.8608059","-0.8792406","-0.8736264","-0.8730159","-0.9219801","-0.9047619","-0.9060489","-0.8983051","-0.8808131","-0.8847737","-0.9071578","-0.9096459","-0.8873914","-0.8981481","-0.9004574","-0.8931624","-0.9040865","-0.8916900","-0.8960473","-0.8350755","-0.8788468","-0.8817967","-0.9047619","-0.9029304","-0.8978355","-0.8835979","-0.8888889","-0.9004046","-0.8538360","-0.9053092","-0.6880952","-0.8892001","-0.8736913","-0.8730159","-0.8568316","-0.9090664","-0.9199023","-0.8453102","-0.9047619","-0.9016495","-0.9008746","-0.9174603","-0.8937480","-0.8905775","-0.8982831","-0.8927690","-0.8851739","-0.8862434","-0.8885512","-0.8721804","-0.8790627","-0.8621554","-0.8702553","-0.8916494","-0.8912530","-0.8843033","-0.8752834","-0.8817967","-0.8592132","-0.9041847","-0.8347578","-0.8835979","-0.8927690","-0.8571429","-0.9065256","-0.9070707","-0.8998358","-0.9003175","-0.8860029","-0.8861284","-0.8888889","-0.9196109","-0.8169537","-0.8674948","-0.8504274","-0.8971429","-0.9069264","-0.9434343","-0.8558201","-0.9123533","-0.9053968","-0.7613169","-0.9436957","-0.8767507","-0.7816650","-0.8442093","-0.9112187","-0.8408098","-0.8705357","-0.7527151","-0.8425745","-0.8783069","-0.8472456","-0.8883769","-0.8263305","-0.8300654","-0.8764347","-0.8376068","-0.7723356","-0.8858025","-0.8708995","-0.8059396","-0.8784067","-0.8941799","-0.9245381","-0.9365079","-0.8985261","-0.9058758","-0.8742138","-0.9035861","-0.9238095","-0.9069264","-0.8615333","-0.9328649","-0.8991924","-0.8682540","-0.8005391","-0.8542939","-0.7973138","-0.8264840","-0.8360513","-0.9343336","-0.8844302","-0.9546485","-0.9183007","-0.8651944","-0.9287859","-0.8738739","-0.8920635","-0.9453486","-0.8808303","-0.9198278","-0.8355556","-0.7784392","-0.8335894","-0.8965315","-0.8962149","-0.9292676","-0.8418803","-0.8165785","-0.9441270","-0.9178982","-0.9003063","-0.9275132","-0.9206349","-0.9284158","-0.8787478","-0.8435374","-0.8457411","-0.7665446","-0.8783706","-0.8912232","-0.8405644","-0.9012346","-0.8562610","-0.7292769","-0.9347684","-0.8596491","-0.8253968","-0.8797619","-0.7575339","-0.9038549"
"fBodyBodyAccJerkMag-meanFreq()"," 0.0938221807"," 0.2075009267","-0.1171639831"," 0.1114864850","-0.0049728779","-0.0092288465","-0.0127446365"," 0.1761898763"," 0.1592399386","-0.0712853942"," 0.0844543080"," 0.0184494619"," 0.1180312088"," 0.1647082006"," 0.0164170632"," 0.0921999143"," 0.0274103270"," 0.0893293589"," 0.1249980922"," 0.0864817773"," 0.2016721063"," 0.0976461806"," 0.1517358459"," 0.1028501679"," 0.1353388423"," 0.0423616588"," 0.0162107117"," 0.1230162498","-0.0437918181"," 0.1150108382"," 0.0853524092","-0.0119168234"," 0.0904944092"," 0.0497462737"," 0.1245133002","-0.0612378408"," 0.0458636459"," 0.2745492590"," 0.0257597456"," 0.1787349331"," 0.0149014801"," 0.0842262705","-0.0278380090"," 0.0399288326"," 0.1009600977"," 0.0673443714","-0.0890136151","-0.0290342555"," 0.2968513473","-0.0202231093"," 0.1679015349"," 0.1875593630"," 0.1482818806"," 0.0077672679"," 0.0278971844"," 0.0571545020"," 0.1162873717"," 0.1723259277","-0.0016431447","-0.0484762641"," 0.0764915474"," 0.0188355111"," 0.0434967841"," 0.0926236938"," 0.1109680648","-0.0016065950","-0.0373844402"," 0.1814225360","-0.0824504600"," 0.1252059535"," 0.0337475180"," 0.0415244209"," 0.0266434248","-0.0017092358","-0.0799656144","-0.0148414437","-0.0445946372"," 0.0059300361"," 0.1746794383","-0.1128762804"," 0.0106407358"," 0.1383976159"," 0.0579874223","-0.0019853714","-0.0002596381","-0.0845718966"," 0.1037963212"," 0.0545998275"," 0.0327322972","-0.1252103888"," 0.3518522020"," 0.2800624240"," 0.2867957698"," 0.2271980147"," 0.2459367175"," 0.1718445198"," 0.1812297253"," 0.3067875609"," 0.0974700203"," 0.3247620928"," 0.1922591079"," 0.2551914930"," 0.3606463629"," 0.1984141004"," 0.2428183442"," 0.3200551447"," 0.3815212545"," 0.4590908497"," 0.2684566022"," 0.2297132427"," 0.3279370392"," 0.2073147015"," 0.1995337451"," 0.3535443704"," 0.3004398785"," 0.3367867402"," 0.3579207699"," 0.2291115368"," 0.3362327975"," 0.3187685309"," 0.4222201023"," 0.3048718652"," 0.1298162977"," 0.2012622073"," 0.1409716007"," 0.1909436822"," 0.2567594399"," 0.3080606339"," 0.2005376883"," 0.1973195248"," 0.3330989298"," 0.1765986927"," 0.2987453823"," 0.2142518959"," 0.2936853141"," 0.3446739072"," 0.4268490408"," 0.3610139700"," 0.2907371354","-0.0061341486"," 0.2919463718"," 0.1069702429"," 0.2616557995"," 0.2932915527"," 0.3084475003"," 0.2216684764"," 0.3290143600"," 0.1333076433"," 0.3880205480"," 0.0494752816"," 0.2663911542"," 0.3417585745"," 0.2386111339"," 0.2740273496"," 0.1970050015"," 0.1825250779"," 0.2176052867"," 0.3508226013"," 0.1670029826"," 0.2128261878"," 0.2957478955"," 0.1570651169"," 0.3007506580"," 0.1757229966"," 0.2734851294"," 0.3532661280"," 0.3742736686"," 0.3936359241"," 0.2113171495"," 0.2627068794"," 0.2996476605"," 0.2088528334"," 0.3380947110"," 0.3473092994"," 0.2004939404"," 0.3507040343"," 0.4051048589"," 0.2668593149"," 0.4880884997"," 0.1721210862"
"fBodyBodyAccJerkMag-skewness()","-0.104419399","-0.002549126"," 0.147218606"," 0.126304676","-0.133269651","-0.190841074"," 0.114019697","-0.393378435"," 0.236401498","-0.123217912","-0.123097658","-0.074418951"," 0.304860146"," 0.138857789","-0.264819566","-0.237642386"," 0.376219464","-0.104259572","-0.106532005","-0.171908316"," 0.519760704"," 0.344756733","-0.079672468"," 0.187628619"," 0.417067467"," 0.077849685","-0.209369494","-0.164619215","-0.349930170"," 0.032722103","-0.363579661","-0.223830449","-0.165041333","-0.361655784","-0.257141162","-0.024646819","-0.144717245","-0.593701504","-0.254025190","-0.385212672","-0.076819879"," 0.073272234","-0.299680519","-0.425367098","-0.341055160","-0.163569815","-0.427304954","-0.067451441","-0.650853900","-0.281782112","-0.343631501","-0.121112073","-0.465743315","-0.120510191","-0.272060429","-0.381222712"," 0.168111894","-0.086716735","-0.122699174","-0.238172101","-0.196565006"," 0.075097628","-0.190437042","-0.179161829","-0.045112680","-0.215333946"," 0.150242765","-0.246028191"," 0.145447920","-0.082168075","-0.181327559"," 0.024950786","-0.006714133"," 0.100495539","-0.046507482","-0.001163253","-0.190876600"," 0.064724762","-0.205075514"," 0.161957926","-0.057209181","-0.263457139","-0.082145335"," 0.362137679","-0.082112669"," 0.245702373","-0.131222702","-0.098966138","-0.090142302","-0.054965749","-0.480942151","-0.568363489","-0.445595575","-0.313388056","-0.409435566","-0.377312089","-0.453592196","-0.440080602","-0.314648298","-0.530006243","-0.286579235","-0.410410737","-0.597419250","-0.464675063","-0.447346365","-0.531727932","-0.588856019","-0.623126814","-0.477501007","-0.468793388","-0.567862338","-0.430685879","-0.497469220","-0.553225816","-0.517321141","-0.602431834","-0.539838346","-0.436709809","-0.543070961","-0.578391596","-0.568218011","-0.447901013","-0.403904317","-0.435020633","-0.342011722","-0.382596155","-0.430164148","-0.515789499","-0.365516871","-0.386071484","-0.578955073","-0.451112967","-0.530272093","-0.355297249","-0.511094916","-0.481277360","-0.594078767","-0.578707501","-0.523774306","-0.328820343","-0.471510129","-0.301352177","-0.451856722","-0.470875335","-0.509823208","-0.511379519","-0.502427985","-0.332924499","-0.604862991","-0.357809598","-0.389207746","-0.553611931","-0.448886207","-0.384445237","-0.391210553","-0.365542869","-0.441914312","-0.567137469","-0.318420984","-0.431499641","-0.546662085","-0.362330024","-0.401214617","-0.417542860","-0.452850469","-0.553806615","-0.534150485","-0.606679164","-0.432144145","-0.501124962","-0.541262559","-0.328525494","-0.565525758","-0.583401355","-0.385306126","-0.548042853","-0.563622306","-0.461837828","-0.657881221","-0.370672105"
"fBodyBodyAccJerkMag-kurtosis()","-0.47802532","-0.36875434","-0.18628402","-0.16842409","-0.48482549","-0.59155113","-0.20516801","-0.72362114","-0.01959315","-0.54773417","-0.47920211","-0.47622065"," 0.05264391","-0.14503870","-0.64478168","-0.59486786"," 0.09660236","-0.46206434","-0.43775650","-0.53746521"," 0.33425424"," 0.10466069","-0.48126397","-0.09647996"," 0.19675635","-0.26130267","-0.60897942","-0.51573346","-0.74780864","-0.29512498","-0.68685336","-0.58156444","-0.47145317","-0.68985561","-0.56368287","-0.33833083","-0.47839748","-0.86417552","-0.59281170","-0.71047579","-0.38881155","-0.22759247","-0.64975678","-0.75550585","-0.67537763","-0.48962489","-0.77936506","-0.38985606","-0.89875847","-0.65005505","-0.64645178","-0.45779886","-0.76726314","-0.46743203","-0.59600169","-0.74122486","-0.10495746","-0.39432681","-0.47157299","-0.57065627","-0.53938471","-0.25477492","-0.51700182","-0.50256460","-0.34239375","-0.58582016","-0.15131672","-0.58495803","-0.15514585","-0.39122672","-0.53147097","-0.30313310","-0.31922657","-0.21637606","-0.37545010","-0.32773982","-0.53562178","-0.23490741","-0.50408907","-0.13687175","-0.38970302","-0.58170984","-0.39354963"," 0.10607491","-0.41427116","-0.04792667","-0.44385724","-0.44362593","-0.44086483","-0.39975522","-0.75059907","-0.83704697","-0.72405757","-0.63082016","-0.70845662","-0.70296450","-0.75272361","-0.72271404","-0.63044778","-0.78002509","-0.59553060","-0.71617275","-0.84930111","-0.75473628","-0.74234630","-0.80319893","-0.83989856","-0.86032839","-0.75506468","-0.75573276","-0.84192420","-0.73196583","-0.79697950","-0.80266635","-0.78541518","-0.85193185","-0.80891134","-0.74184986","-0.80212520","-0.83070929","-0.83274830","-0.73716594","-0.72661511","-0.74444617","-0.67587966","-0.69884504","-0.72512965","-0.80038414","-0.66511391","-0.68458412","-0.82787898","-0.76361071","-0.80300962","-0.63267694","-0.78793862","-0.75318626","-0.84389352","-0.81717383","-0.80684887","-0.65194134","-0.74688021","-0.62837977","-0.73797837","-0.75480128","-0.78267084","-0.79418428","-0.77162545","-0.65580267","-0.85019059","-0.68456714","-0.67371579","-0.81601646","-0.73609678","-0.67457444","-0.72661875","-0.70332866","-0.74491801","-0.82106273","-0.62138783","-0.74660787","-0.81852167","-0.69536442","-0.69583817","-0.72025366","-0.74585593","-0.81547221","-0.79181714","-0.86542616","-0.74854596","-0.80204749","-0.81101020","-0.60863719","-0.83676261","-0.84269111","-0.68283468","-0.80912628","-0.80471528","-0.75493431","-0.88499640","-0.67968114"
"fBodyBodyGyroMag-mean()","-0.1992525690","-0.5307048147","-0.5697557722","-0.6092855880","-0.4842628289","-0.3296811234","-0.1929097655","-0.3012418486","-0.5137974804","-0.4126169096","-0.6102226288","-0.4425037840","-0.2674723739","-0.3113864497","-0.4891663837","-0.6692285408","-0.5186180587","-0.6203313943","-0.0952460452","-0.0520065599","-0.4095160812","-0.4383787228"," 0.1850782074","-0.5345091638","-0.5627332527","-0.5519276131","-0.5194517040","-0.5146024248","-0.4168178534","-0.3583443560","-0.3259614574","-0.4506121848","-0.5142115837","-0.5757940721","-0.3925645309","-0.2306270151","-0.5339829459","-0.2296109526","-0.5314826939","-0.2653716891","-0.5500996600","-0.5940325152","-0.4854773089"," 0.0488588668","-0.4536935663","-0.6305466755","-0.5040669569","-0.6540290893","-0.2888402678","-0.2866277168","-0.4753698868","-0.3699020000","-0.3803882922","-0.5646649947","-0.5671534698","-0.5560847782","-0.6076677302","-0.5348354096","-0.3572138970","-0.4491507351","-0.1857202857","-0.3208385436","-0.3323766294","-0.4292133696","-0.3493384147","-0.0143735434","-0.2550450574","-0.0003627297","-0.3475402267","-0.3123475103","-0.4561701089","-0.3449384200","-0.2061217072","-0.0787568407","-0.3738986312","-0.4882539396","-0.4094387583","-0.6047354144"," 0.2039797648","-0.1005661035","-0.4063922844","-0.3384173264"," 0.1508257348","-0.3742986867","-0.4857635821","-0.3345099466","-0.3591137248","-0.2233547939","-0.3814598819","-0.3567723473","-0.9584355894","-0.9718405961","-0.9466649437","-0.9487697524","-0.9447603220","-0.9297256793","-0.9330819552","-0.9658067893","-0.9344377378","-0.9744597326","-0.9697999511","-0.9585118667","-0.9732582778","-0.9633205406","-0.9737621798","-0.9540609943","-0.9833692923","-0.9865352421","-0.9642387685","-0.9533990682","-0.9778397024","-0.9519527673","-0.9522932772","-0.9779737207","-0.9793509137","-0.9764638700","-0.9794828209","-0.9602975250","-0.9802694258","-0.9738762829","-0.9846176234","-0.9617759048","-0.9136823626","-0.9142091657","-0.9045439216","-0.9266642970","-0.9387049849","-0.9645642241","-0.9297690678","-0.9377867434","-0.9825765198","-0.9023567656","-0.9574887995","-0.9444055638","-0.9567339002","-0.9754486322","-0.9842911315","-0.9723525930","-0.9585781296","-0.8794376748","-0.9567230224","-0.9320652708","-0.9445838297","-0.9639223142","-0.9689724996","-0.9723331086","-0.9755255656","-0.9096524363","-0.9808797229","-0.9174494173","-0.8621901854","-0.9721129727","-0.9645867248","-0.9615566602","-0.9682570688","-0.9301536395","-0.9411307192","-0.9445289506","-0.9186053356","-0.9376926426","-0.9670933565","-0.9454970225","-0.9576816213","-0.9301517312","-0.9468126424","-0.9702496389","-0.9690144448","-0.9843290922","-0.9656247245","-0.9698322412","-0.9623490129","-0.9460558410","-0.9662393479","-0.9640013835","-0.9101269936","-0.9743051796","-0.9798906680","-0.9442183694","-0.9840013417","-0.9620011990"
"fBodyBodyGyroMag-std()","-0.32101795","-0.65179284","-0.63264329","-0.59393720","-0.58974151","-0.51064832","-0.34389491","-0.32745958","-0.56271453","-0.49975980","-0.59974544","-0.49480222","-0.37995184","-0.26550455","-0.48175022","-0.72113700","-0.61532008","-0.66890815","-0.14159840","-0.19621024","-0.51224934","-0.46401913","-0.06147658","-0.66803280","-0.52926224","-0.60946622","-0.54688815","-0.51681157","-0.42915683","-0.33154174","-0.18298552","-0.43862040","-0.44518180","-0.55248963","-0.44044505","-0.31817389","-0.44499448","-0.18332565","-0.45684133","-0.16696938","-0.38122338","-0.56443509","-0.47077080"," 0.23665966","-0.30858587","-0.53248672","-0.49644458","-0.53304464","-0.37713275","-0.36094834","-0.48340710","-0.23402303","-0.47049158","-0.54907099","-0.38661299","-0.56963200","-0.52333598","-0.52818702","-0.07433147","-0.15147228","-0.39835039","-0.37257676","-0.32244083","-0.45767409","-0.48414127","-0.24235386","-0.39690965","-0.25559031","-0.42417074","-0.38778010","-0.38055943","-0.42355397","-0.40056006","-0.22392743","-0.34938721","-0.47993985","-0.42886869","-0.53384493"," 0.03203667","-0.15168199","-0.48448997","-0.34186367","-0.21893043","-0.47014727","-0.42370733","-0.39299065","-0.39798420","-0.36290384","-0.32302458","-0.25236188","-0.93219837","-0.96138575","-0.92544963","-0.92885055","-0.93474687","-0.92954914","-0.89580498","-0.95325116","-0.90647123","-0.96245996","-0.96071124","-0.94846098","-0.96426810","-0.94651796","-0.96337823","-0.93886322","-0.97471085","-0.98125263","-0.95048442","-0.94372576","-0.97202725","-0.93356301","-0.93868078","-0.96910590","-0.97032190","-0.96365065","-0.97052827","-0.95353429","-0.97101137","-0.95951394","-0.97846607","-0.95678873","-0.88343972","-0.88719440","-0.86891399","-0.92310876","-0.91984814","-0.95411983","-0.91090966","-0.92296155","-0.97743771","-0.85003317","-0.94685749","-0.93481556","-0.92883830","-0.96357474","-0.97726342","-0.95911346","-0.93672355","-0.84912735","-0.94776317","-0.90022241","-0.92480542","-0.95440718","-0.96109040","-0.96296761","-0.96540017","-0.87845966","-0.97593873","-0.88887223","-0.82431944","-0.96109838","-0.95544186","-0.94710033","-0.95926306","-0.92869489","-0.91889252","-0.93678697","-0.90340058","-0.93370132","-0.95484905","-0.94037383","-0.94613343","-0.91776010","-0.92368224","-0.95897508","-0.96002384","-0.98146884","-0.95749602","-0.96420592","-0.94973658","-0.92355236","-0.95902554","-0.96136908","-0.85066134","-0.96613922","-0.97180624","-0.93167500","-0.97667905","-0.95264445"
"fBodyBodyGyroMag-mad()","-0.27857064","-0.58618428","-0.59067539","-0.59226371","-0.53471365","-0.42146912","-0.30555681","-0.29262490","-0.51883485","-0.41576777","-0.55327857","-0.44595833","-0.34840677","-0.23166400","-0.41657827","-0.67994947","-0.57697732","-0.62346953","-0.09949256","-0.09590873","-0.47513059","-0.45006842"," 0.02342475","-0.59947586","-0.46645628","-0.57498930","-0.51781219","-0.48312279","-0.36105484","-0.28842796","-0.16320365","-0.41669696","-0.41670572","-0.51084890","-0.33860626","-0.19478053","-0.45506117","-0.13266393","-0.42324683","-0.12850998","-0.39844701","-0.53918902","-0.41647205"," 0.36224921","-0.30722696","-0.53278202","-0.43713795","-0.55269554","-0.29451460","-0.25119128","-0.44365778","-0.23100211","-0.38240378","-0.53105255","-0.41203616","-0.52646708","-0.55118731","-0.48303290","-0.11941480","-0.23434470","-0.31922085","-0.35818045","-0.26046868","-0.42433685","-0.40698827","-0.13771533","-0.34935906","-0.13658276","-0.35297831","-0.30358740","-0.35530743","-0.36520256","-0.30306821","-0.09530831","-0.28517610","-0.47106721","-0.37491278","-0.53662853"," 0.11639596","-0.02392674","-0.42989804","-0.27352079","-0.08618805","-0.41796093","-0.40234261","-0.29828983","-0.38342205","-0.24473864","-0.29238365","-0.24472990","-0.94641325","-0.96648952","-0.93398904","-0.93486855","-0.93544551","-0.92707710","-0.91186921","-0.96029002","-0.91810581","-0.96923113","-0.96592779","-0.95014816","-0.96943060","-0.95286087","-0.96785983","-0.94639319","-0.97917158","-0.98364329","-0.95542348","-0.94479785","-0.97404097","-0.93997807","-0.94464269","-0.97250484","-0.97414265","-0.96861234","-0.97532425","-0.95311335","-0.97538161","-0.96663444","-0.98110276","-0.95616350","-0.88486638","-0.89170833","-0.88007152","-0.91664151","-0.92204406","-0.95744215","-0.91082359","-0.92240890","-0.97778207","-0.86671451","-0.94679736","-0.93291438","-0.93789890","-0.96861873","-0.97923201","-0.96157411","-0.94415204","-0.84689866","-0.94621168","-0.90833332","-0.92844654","-0.95554353","-0.96108164","-0.96414689","-0.96660955","-0.87662726","-0.97513509","-0.89558333","-0.82355385","-0.96682227","-0.95737089","-0.95305038","-0.96539937","-0.92629846","-0.92665132","-0.93783593","-0.90242155","-0.93082879","-0.96013859","-0.93921904","-0.95268594","-0.91693822","-0.92842200","-0.96365625","-0.96294368","-0.98260560","-0.96231661","-0.96573069","-0.95327462","-0.93237116","-0.96421781","-0.96266968","-0.87878073","-0.97149720","-0.97668285","-0.93313037","-0.98161746","-0.95435111"
"fBodyBodyGyroMag-max()","-0.33922999","-0.71774519","-0.65694207","-0.63098168","-0.63918536","-0.60876383","-0.35565225","-0.34409048","-0.61627794","-0.62121308","-0.66551361","-0.58353765","-0.40183880","-0.28534235","-0.57832176","-0.77077913","-0.67207022","-0.73865017","-0.23889950","-0.31802782","-0.53849840","-0.51051390","-0.14621864","-0.73944750","-0.62960300","-0.64458725","-0.60899448","-0.57114586","-0.56676298","-0.36265769","-0.23318769","-0.49446554","-0.51500194","-0.62840163","-0.55735389","-0.45997852","-0.48442852","-0.29244299","-0.53284651","-0.26408961","-0.44862651","-0.63150227","-0.54233626"," 0.08091518","-0.39376024","-0.58702516","-0.58767909","-0.57320397","-0.48444341","-0.49457737","-0.57437290","-0.36289052","-0.58066566","-0.59220303","-0.45744626","-0.64524801","-0.55279103","-0.58083516","-0.14482132","-0.14500419","-0.48899285","-0.43265378","-0.42288237","-0.50700091","-0.58242460","-0.36298894","-0.45601904","-0.37364716","-0.51355508","-0.48871192","-0.43874123","-0.49883195","-0.50107769","-0.36998755","-0.45349287","-0.52716970","-0.50994831","-0.57507382","-0.08341430","-0.34484908","-0.55292040","-0.47174859","-0.34867914","-0.53299254","-0.47191710","-0.51194622","-0.45622191","-0.50340448","-0.40492510","-0.34066194","-0.92272753","-0.95910549","-0.92309729","-0.93168904","-0.93723928","-0.93404649","-0.88609422","-0.94899849","-0.90390503","-0.95799864","-0.95708999","-0.95017136","-0.96076166","-0.94622910","-0.96199056","-0.93587667","-0.97174585","-0.97980742","-0.94815730","-0.94736642","-0.97176346","-0.93451867","-0.93715490","-0.96867828","-0.96899507","-0.96217806","-0.96767094","-0.95713572","-0.96854896","-0.95624879","-0.97707465","-0.96041831","-0.89330296","-0.89787548","-0.87527274","-0.93378759","-0.92614869","-0.95446183","-0.91939992","-0.93016592","-0.97927125","-0.85990793","-0.95345658","-0.93814421","-0.93034447","-0.96231711","-0.97689947","-0.96076215","-0.93771818","-0.86551133","-0.95188211","-0.90308555","-0.93023402","-0.95722268","-0.96377992","-0.96282668","-0.96711159","-0.89333340","-0.97904554","-0.89365200","-0.84448103","-0.95772918","-0.95575365","-0.94564509","-0.95668556","-0.93103916","-0.91818663","-0.93930901","-0.91054205","-0.93870710","-0.95408819","-0.94216858","-0.94289764","-0.92124701","-0.92599884","-0.95660983","-0.95929315","-0.98090781","-0.95520521","-0.96569289","-0.94916007","-0.92114271","-0.95638243","-0.96048138","-0.84027283","-0.96219963","-0.96833702","-0.93659452","-0.97295968","-0.95372639"
"fBodyBodyGyroMag-min()","-0.6794408","-0.8149352","-0.8336825","-0.8623944","-0.8026879","-0.7543919","-0.6061434","-0.7390810","-0.8271840","-0.8240910","-0.9127156","-0.7972222","-0.6986070","-0.8031035","-0.8699270","-0.8906732","-0.7599232","-0.8696765","-0.6694601","-0.7569268","-0.7615147","-0.7917508","-0.5086499","-0.8325396","-0.8918692","-0.8540765","-0.7826667","-0.8434816","-0.8002727","-0.8474459","-0.8269600","-0.8157606","-0.8831396","-0.8810672","-0.8472568","-0.7901316","-0.8504511","-0.7709657","-0.8441514","-0.8150942","-0.8656394","-0.8842773","-0.8692085","-0.7565573","-0.8485036","-0.9088536","-0.8334256","-0.9044864","-0.7657359","-0.8470988","-0.8222900","-0.8058535","-0.7705592","-0.8692561","-0.8573596","-0.8464490","-0.8771568","-0.8686854","-0.8333178","-0.8515803","-0.5684209","-0.7154528","-0.8090271","-0.7700071","-0.7564394","-0.5574039","-0.6594389","-0.4770071","-0.8163748","-0.7536349","-0.8327407","-0.7186539","-0.6549882","-0.6214309","-0.8411207","-0.8189248","-0.8036135","-0.8774847","-0.4439496","-0.8085385","-0.7575321","-0.8200397","-0.5021703","-0.7904449","-0.8427516","-0.8297254","-0.6915831","-0.7628791","-0.8191303","-0.7730560","-0.9519305","-0.9717848","-0.9707117","-0.9635536","-0.9697519","-0.9588551","-0.9456270","-0.9634263","-0.9590333","-0.9658262","-0.9686392","-0.9772561","-0.9704187","-0.9677701","-0.9766427","-0.9317457","-0.9798069","-0.9865146","-0.9703379","-0.9671862","-0.9826593","-0.9648130","-0.9548167","-0.9839046","-0.9826800","-0.9766019","-0.9781762","-0.9763367","-0.9751796","-0.9725690","-0.9861225","-0.9800187","-0.9655611","-0.9422955","-0.9568795","-0.9635464","-0.9641959","-0.9775270","-0.9593706","-0.9759207","-0.9836127","-0.9412351","-0.9790661","-0.9757384","-0.9810355","-0.9771892","-0.9927654","-0.9870426","-0.9724972","-0.9528221","-0.9857957","-0.9732349","-0.9801527","-0.9826804","-0.9876331","-0.9875398","-0.9889060","-0.9717992","-0.9904575","-0.9479866","-0.8943276","-0.9750576","-0.9719667","-0.9757505","-0.9625053","-0.9655439","-0.9622604","-0.9678219","-0.9642008","-0.9594463","-0.9654999","-0.9758956","-0.9708569","-0.9511606","-0.9741134","-0.9765698","-0.9807741","-0.9871550","-0.9749558","-0.9805026","-0.9830218","-0.9655364","-0.9761530","-0.9777400","-0.9402045","-0.9689993","-0.9755563","-0.9679956","-0.9709791","-0.9751811"
